alpha,delta,epsilon,profit,inventory_2020,herfindahl_2020
0.0,0.0,0.0,1.381185064241e11,-0.0,0.5017393664001494
0.0,0.0,0.1,1.3453569402249998e11,-0.0,0.5017393664001494
0.0,0.0,0.25,1.249015567764e11,-0.0,0.5017393664001494
0.0,0.0,0.5,1.120585584354e11,-0.0,0.5017393664001494
0.0,0.01,0.0,1.381056185015e11,-0.0,0.5022967636761081
0.0,0.01,0.1,1.349791373839e11,-0.0,0.5023221755261791
0.0,0.01,0.25,1.256749804636e11,-0.0,0.5022791073694097
0.0,0.01,0.5,1.1030900538840001e11,-0.0,0.5023289919624646
0.0,0.02,0.0,1.3809391760630002e11,-0.0,0.5030165188987568
0.0,0.02,0.1,1.3496925976620001e11,-0.0,0.5029358521354779
0.0,0.02,0.25,1.2609857794959998e11,-0.0,0.5029857319384514
0.0,0.02,0.5,1.10353463272e11,-0.0,0.5029075349865563
0.0,0.03,0.0,1.380821169807e11,-0.0,0.5036551653948957
0.0,0.03,0.1,1.354320921735e11,-0.0,0.5031614572820783
0.0,0.03,0.25,1.251215840551e11,-0.0,0.503596356231906
0.0,0.03,0.5,1.110949778309e11,-0.0,0.503770878882219
0.0,0.04,0.0,1.380677358894e11,-0.0,0.5043277868302036
0.0,0.04,0.1,1.348729438901e11,-0.0,0.5040824936772115
0.0,0.04,0.25,1.270970462842e11,-0.0,0.5045233326454492
0.0,0.04,0.5,1.132218795205e11,-0.0,0.5046284142825068
0.0,0.05,0.0,1.380498889555e11,-0.0,0.5051447885301781
0.0,0.05,0.1,1.354415438014e11,-0.0,0.5053468708357112
0.0,0.05,0.25,1.2721120701400002e11,-0.0,0.5055121155844452
0.0,0.05,0.5,1.097064713179e11,-0.0,0.5055047090224581
0.0,0.06,0.0,1.3803931577230002e11,-0.0,0.49684165731225527
0.0,0.06,0.1,1.3463489049480002e11,-0.0,0.4982750884902582
0.0,0.06,0.25,1.269057617784e11,-0.0,0.5010436380809088
0.0,0.06,0.5,1.1041629341240001e11,-0.0,0.5047355269170762
0.0,0.07,0.0,1.379482034797e11,1.005925e6,0.48567627858364126
0.0,0.07,0.1,1.346328323875e11,1.407785e6,0.483036222925519
0.0,0.07,0.25,1.2500627942029999e11,1.669976e6,0.4834207534163088
0.0,0.07,0.5,1.121686501588e11,-0.0,0.501017568470889
0.0,0.08,0.0,1.376465398623e11,4.398342e6,0.4572400837894086
0.0,0.08,0.1,1.3435220550679999e11,3.812605e6,0.4616703187236628
0.0,0.08,0.25,1.245806760615e11,2.465069e6,0.48081190762207104
0.0,0.08,0.5,1.0850245645070001e11,4.346328e6,0.45988873469545566
0.0,0.09,0.0,1.376513553992e11,4.218335e6,0.4515638773452214
0.0,0.09,0.1,1.339994983517e11,6.856939e6,0.4399122150692162
0.0,0.09,0.25,1.2552926410629999e11,7.442153e6,0.4439291421821679
0.0,0.09,0.5,1.102994176689e11,1.044151e7,0.4297917073631594
0.0,0.1,0.0,1.367815516496e11,1.4732339e7,0.4126001964096427
0.0,0.1,0.1,1.340269959456e11,1.1269519e7,0.41495575429642906
