producer_region,consumer_region,distance,shipping_cost_2014,shipping_cost_2015,shipping_cost_2016,shipping_cost_2017,shipping_cost_2018,shipping_cost_2019,shipping_cost_2020,shipping_cost_2021,shipping_cost_2022,shipping_cost_2023
SE ASIA (Vietnam),SE ASIA (Japan),0.33107702853225945,0.13207838287437293,0.10182290733571688,0.09178190957644304,0.09966524721387202,0.09442126490879811,0.08824283248240064,0.1306538770115156,0.5401604039578507,0.4534584816548659,0.0948161392202177
S ASIA (Indonesia),SE ASIA (Japan),0.4119612715277183,0.16434597951862964,0.126698897119598,0.11420481916240634,0.12401410678165027,0.11748898594241752,0.10980112281971591,0.16257345773068504,0.6721250575127706,0.5642412991192016,0.11798033058250691
N ASIA (China),SE ASIA (Japan),0.2616742352840374,0.10439114422834755,0.08047804322031038,0.07254191300374148,0.07877268762711313,0.07462798732698485,0.06974472318872971,0.10326525372494014,0.4269280211405994,0.35840119124584896,0.0749400851911348
EMEA (Egypt),SE ASIA (Japan),0.8314625996058607,0.3316999553346053,0.2557167424393883,0.23049990955740252,0.25029802250605954,0.23712835265915552,0.22161191677257136,0.3281224695962079,1.3565519047637118,1.1388098100359259,0.23812003493607467
AMERICAS (Brazil),SE ASIA (Japan),1.4883900265615628,0.5937716327408726,0.4577551043811433,0.4126147906967888,0.44805512664393654,0.42448027762182505,0.3967045142473554,0.5873676235939538,2.4283453357018177,2.038568137895102,0.42625547473975195
SE ASIA (Vietnam),S ASIA (India),0.27366977979607576,0.10917659288321613,0.0841672789933436,0.07586734451013434,0.08238374730877517,0.07804904764976739,0.072941927264179,0.10799908984854575,0.446499050269507,0.37483084637827163,0.07837545255418617
S ASIA (Indonesia),S ASIA (India),0.38411447176762914,0.1532369022841133,0.1181345997893423,0.10648506745113719,0.11563128966350626,0.10954723876452949,0.10237904193028002,0.15158419530088624,0.6266923113206636,0.5261010282760775,0.11000537063256623
N ASIA (China),S ASIA (India),0.25567646302801816,0.10199841990091325,0.07863342533379376,0.07087919725054503,0.0769671577862821,0.07291745716559359,0.06814612115100505,0.10089833566313731,0.41714250657614554,0.35018636367963757,0.07322240150960911
EMEA (Egypt),S ASIA (India),0.422500214206152,0.1685503379796928,0.12994015426304864,0.11712644827159438,0.12718668064482477,0.12049463179743362,0.1126100949717178,0.1667324708964243,0.6893196045331681,0.5786759246998301,0.12099854619433063
AMERICAS (Brazil),S ASIA (India),1.2669865478536544,0.5054459232824411,0.38966235268458727,0.351236826321652,0.38140528223383163,0.36133727852132447,0.3376932618833484,0.49999453399826116,2.0671200552082656,1.7353236460223862,0.36284840855314676
